Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a3368a0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a78e1b0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a0f7020>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:52Z,2026-09-17T16:53:52Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2fd250>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a3d53a0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6e3920>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6e1a60>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a3d7ec0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6e07d0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a71cbf0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a7583b0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6e3f50>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a335c40>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6e32f0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a40b680>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6b5610>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a334fe0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a0f7650>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:52Z,2026-09-17T16:53:52Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a3349b0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6b68a0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a650ce0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a3d4da0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2fc5f0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2ff710>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a71f710>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a71eae0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a7589b0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a445bb0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a40bcb0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a71e4b0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a409df0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a653d40>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6e2cc0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a40a3f0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a408530>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2df320>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2de6c0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2feae0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a78e7b0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2fcc20>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2dce00>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a40aa20>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a758fe0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a0f7c80>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:52Z,2026-09-17T16:53:52Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a4097c0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a3d59d0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a444f80>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2de090>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6b6ed0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6e2690>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2fe4b0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a888680>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a78cf20>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a78db80>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a888050>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2decf0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2ffd40>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2ff110>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a3d4170>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a75b4d0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6e01a0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6e2090>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a2fd850>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6e1430>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6b5c40>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a3d6000>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a334380>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a78edb0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a71fd40>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a337500>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a335610>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6524b0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a336270>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a336ed0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a3d6630>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a6b7b30>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a3d6c60>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:53Z,2026-09-17T16:53:53Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a75a870>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a652ab0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a78d550>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a71d850>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a78f3e0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a71f0e0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a75aea0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a653710>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
POST,POST /auth/login,"ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8500) at 0x10a71c5c0>, 'Connection to 127.0.0.1 timed out. (connect timeout=None)')",1,2026-09-17T16:53:54Z,2026-09-17T16:53:54Z
